ManualShift,X,Y,
(17,31),8,4
(18,31),9,4
(19,31),9,4
(20,31),10,4
(21,31),10,4
(22,31),11,4
(23,31),12,4
(24,31),12,4
(25,31),12,4
(26,31),12,4
(27,31),13,4
(28,31),14,4
(29,31),13,4
(30,31),14,4
(31,31),14,4
(32,31),15,4
(33,31),15,4
(34,31),15,4
(35,31),16,4
(36,31),15,4
(37,31),16,4
(38,31),16,4
(39,31),16,4
(0,32),0,5
(1,32),1,5
(2,32),2,5
(3,32),3,5
(4,32),2,5
(5,32),3,5
(6,32),3,5
(7,32),4,5
(8,32),5,5
(9,32),5,5
(10,32),6,5
(11,32),6,5
(12,32),7,5
(13,32),7,5
(14,32),7,5
(15,32),8,5
(16,32),8,5
(17,32),8,5
(18,32),9,5
(19,32),9,5
(20,32),10,5
(21,32),10,5
(22,32),11,5
(23,32),12,5
(24,32),12,5
(25,32),12,5
(26,32),12,5
(27,32),13,5
(28,32),14,5
(29,32),13,5
(30,32),14,5
(31,32),14,5
(32,32),15,5
(33,32),15,5
(34,32),15,5
(35,32),16,5
(36,32),15,5
(37,32),16,5
(38,32),16,5
(39,32),16,5
(0,33),0,6
(1,33),1,6
(2,33),2,6
(3,33),3,6
(4,33),2,6
(5,33),3,6
(6,33),3,6
(7,33),4,6
(8,33),5,6
(9,33),5,6
(10,33),6,6
(11,33),6,6
(12,33),7,6
(13,33),7,6
(14,33),7,6
(15,33),8,6
(16,33),8,6
(17,33),8,6
(18,33),9,6
(19,33),9,6
(20,33),10,6
(21,33),10,6
(22,33),11,6
(23,33),12,6
(24,33),12,6
(25,33),12,6
(26,33),12,6
(27,33),13,6
(28,33),14,6
(29,33),13,6
(30,33),14,6
(31,33),14,6
(32,33),15,6
(33,33),15,6
(34,33),15,6
(35,33),16,6
(36,33),15,6
(37,33),16,6
(38,33),16,6
(39,33),16,6
(0,34),0,5
(1,34),1,5
(2,34),2,5
(3,34),3,5
(4,34),2,5
(5,34),3,5
(6,34),3,5
(7,34),4,5
(8,34),5,5
(9,34),5,5
(10,34),6,5
(11,34),6,5
(12,34),7,5
(13,34),7,5
(14,34),7,5
(15,34),8,5
(16,34),8,5
(17,34),8,5
(18,34),9,5
(19,34),9,5
(20,34),10,5
(21,34),10,5
(22,34),11,5
(23,34),12,5
(24,34),12,5
(25,34),12,5
(26,34),12,5
(27,34),13,5
(28,34),14,5
(29,34),13,5
(30,34),14,5
(31,34),14,5
(32,34),15,5
(33,34),15,5
(34,34),15,5
